X-position, Y-position, Z-position, X-pixel, Y-pixel, mua, mus, muaLUT, musLUT
-50.37, -8.13, 4162.52,, 458.41, 328.29, 0.0121, 0.5866, 0.0117, 0.6008
-50.25, -8.22, 4163.52,, 458.88, 327.99, 0.0121, 0.5876, 0.0117, 0.6008
52.28, -8.96, 4171.14,, 837.67, 325.47, 0.0122, 0.5736, 0.0121, 0.5775
50.33, -8.48, 4162.58,, 830.85, 327.09, 0.0120, 0.5776, 0.0119, 0.5775
49.08, -8.62, 4172.37,, 825.81, 326.68, 0.0124, 0.5645, 0.0117, 0.5892
46.50, -8.73, 4181.81,, 815.89, 326.37, 0.0122, 0.5701, 0.0119, 0.5775
36.72, -8.82, 4191.92,, 779.56, 326.13, 0.0123, 0.5621, 0.0119, 0.5775
34.79, -8.90, 4186.70,, 772.65, 325.80, 0.0123, 0.5565, 0.0117, 0.5775
31.92, -8.86, 4182.51,, 762.19, 325.91, 0.0121, 0.5650, 0.0121, 0.5659
36.43, 14.31, 4002.04,, 784.84, 407.54, 0.0159, 0.5019, 0.0151, 0.5309
36.40, 14.36, 4000.32,, 784.79, 407.74, 0.0157, 0.5065, 0.0149, 0.5309
36.43, 14.32, 4000.48,, 784.91, 407.59, 0.0155, 0.5114, 0.0149, 0.5309
36.41, 14.37, 3997.69,, 784.92, 407.81, 0.0158, 0.5000, 0.0155, 0.5076
36.44, 14.36, 4002.78,, 784.87, 407.69, 0.0159, 0.4964, 0.0153, 0.5193
36.45, 14.37, 3999.34,, 785.03, 407.78, 0.0158, 0.5021, 0.0149, 0.5309
36.47, 14.29, 4001.42,, 785.03, 407.47, 0.0158, 0.4931, 0.0151, 0.5193
36.74, 13.28, 4004.23,, 785.98, 403.81, 0.0158, 0.4963, 0.0151, 0.5193
37.20, 12.17, 4016.59,, 787.30, 399.71, 0.0157, 0.4975, 0.0151, 0.5193
38.60, 6.23, 4060.70,, 791.04, 378.26, 0.0151, 0.5098, 0.0145, 0.5309
38.85, 4.17, 4071.22,, 791.62, 370.97, 0.0140, 0.5117, 0.0135, 0.5309
